Nome,DirectX,Best_Resolution_transformed,Boost_Clock_values,Core_Speed_val,DVI_Connection_val,Dedicated_bin,DisplayPort_Connection_val,HDMI_Connection_val,Integrated_bin,L2_Cache_transf,Max_Power_val,Memory_val,Memory_Bandwidth_val,Memory_Bus_val,Memory_Speed_val,DDR,DDR2,DDR3,DDR4,GDDR2,GDDR3,GDDR4,GDDR5,GDDR5X,HBM-1,HBM-2,eDRAM,Notebook_GPU_val,PSU_watts,PSU_amps,Pixel_Rate_val,Power_Connector_val,Process_val,2048x1536,2560x1600,4096x2160,4096x2304,5120x2880,5120x3200,7680x4320,disposable,SLI_Crossfire_val,Shader_val,TMUs_val,Texture_Rate_val,VGA_Connection_val
GDVGF0SH61PY9M2INL2QI3AHTK3HTCKI7VHE7O19,12,12,1253,1076,1,1.0,1.0,1.0,0.0,15,75,17,105.8,5,1653,0,0,0,0,0,0,0,1,0,0,0,0,0,350,23,40,1,28,0,0,0,0,0,1,0,0,1.0,5.0,48,60,0
7JK45GGO3YLWSYL,10,0,0,0,0,1.0,0.0,0.0,0.0,1,50,8,25.6,5,800,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.0,-1,-1,-1
ZC0GAMPBZGI7HE1,12,6,0,810,0,1.0,0.0,0.0,0.0,6,45,17,28.8,5,900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13,0,28,0,0,1,0,0,0,0,0,0.0,5.0,32,26,-1
TOASMLBKENKUKMXGHHQ1CN95QZRZB2GF7G35KJMOC,12,12,1111,1046,1,1.0,0.0,2.0,0.0,8,0,17,144.2,7,1502,0,0,0,0,0,0,0,1,0,0,0,0,0,450,24,27,1,28,0,0,1,0,0,0,0,0,1.0,5.0,80,89,0
G1C3DNBKSFIJ1QH9,12,6,0,954,0,1.0,0.0,0.0,0.0,5,25,12,14.4,2,900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,28,0,0,1,0,0,0,0,0,0.0,5.0,32,31,-1
2ZEI8558UELBFBWFOVUEZIQGSX,12,16,1076,1000,1,1.0,3.0,1.0,0.0,34,500,26,673.2,11,1753,0,0,0,0,0,0,0,1,0,0,0,0,0,800,53,207,1,28,0,0,1,0,0,0,0,0,1.0,5.0,176,379,0
T2G47NEXP4G7E,12,6,1050,300,0,0.0,0.0,0.0,1.0,10,15,0,34.1,5,1067,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,14,0,0,0,1,0,0,0,0,0.0,5.0,8,8,-1
P6ORCY6YQH2J0KSF2GSDGE4B3EF447H425,12,12,1468,1354,2,1.0,1.0,1.0,0.0,15,75,20,112.1,5,1752,0,0,0,0,0,0,0,1,0,0,0,0,0,300,27,47,2,16,0,0,0,0,0,0,1,0,0.0,5.0,48,70,0
4KZEOB0ATF9263NCIIN7DBWZEZYXK7PQH,12,8,0,1020,1,1.0,0.0,1.0,0.0,10,0,12,73.6,5,1150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,28,0,0,1,0,0,0,0,0,1.0,5.0,40,41,0
FVM28MX8GHE08UBI82Q37DDINJ5E08V,12,8,0,800,1,1.0,0.0,1.0,0.0,10,0,12,0.0,5,1125,0,0,0,0,0,0,0,1,0,0,0,0,0,450,0,13,1,28,0,0,1,0,0,0,0,0,1.0,5.0,32,26,0
PD82ZBAXGP141VUWCJGL15FX,11,12,0,0,4,1.0,0.0,2.0,0.0,23,750,23,0.0,13,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,0,106,1,40,0,1,0,0,0,0,0,0,1.0,5.0,192,319,0
7L1CLVA3V6UHSJ65RZAK9NB9A81TCRX13D8QANIEM4KPIVPY5SZVBNWEEO,12,12,0,990,2,1.0,1.0,1.0,0.0,13,190,20,0.0,8,1375,0,0,0,0,0,0,0,1,0,0,0,0,0,500,33,32,5,28,0,0,1,0,0,0,0,0,1.0,5.0,112,111,0
BKKTUDTNUK2,11,6,1150,400,0,0.0,0.0,0.0,1.0,10,47,0,25.6,5,800,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,22,0,1,0,0,0,0,0,0,0.0,5.0,4,5,-1
0W1FLIY7QFPN555IAMCMBXR9TS6YXOLNWG6711,10,12,0,901,2,1.0,0.0,0.0,0.0,1,190,12,0.0,8,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,500,37,14,5,55,0,1,0,0,0,0,0,0,1.0,4.1,40,36,0
WIO7VIQZZ8F8Y3QITB5ORZ5DCNS6919K7DEG19NSC265,12,12,945,920,2,1.0,0.0,1.0,0.0,10,0,17,179.2,8,1400,0,0,0,0,0,0,0,1,0,0,0,0,0,500,0,30,1,28,0,0,1,0,0,0,0,0,1.0,5.0,80,76,0
A1VK8EAWCSNRW7MUH2KBCE174N03CUVWRI3RPYQGSRJ6,12,13,1367,1216,2,1.0,0.0,1.0,0.0,21,160,20,224.4,8,1753,0,0,0,0,0,0,0,1,0,0,0,0,0,500,30,77,5,28,0,0,0,0,0,1,0,0,1.0,5.0,104,142,0
MWOGFNF1EE8VOME9HDASVX1DLJYGA5YI8F6DU7TYNKL,12,12,1216,926,0,1.0,3.0,1.0,0.0,22,120,20,0.0,8,1750,0,0,0,0,0,0,0,1,0,0,0,0,0,450,30,39,2,14,0,0,1,0,0,0,0,0,0.0,5.0,128,156,0
7NCP9YNRZB8OYJM63OSTHOZWDOV7V8H7,12,8,0,810,2,1.0,0.0,1.0,0.0,10,150,12,128.3,8,1002,0,0,0,0,0,0,0,1,0,0,0,0,0,450,30,26,5,40,0,1,0,0,0,0,0,0,1.0,5.0,56,45,0
3Q0221WY8QJFNH5MV11UBVEMX6G14ZWO,12,12,980,915,2,1.0,0.0,1.0,0.0,10,170,17,192.3,8,1502,0,0,0,0,0,0,0,1,0,0,0,0,0,500,30,31,1,28,0,0,1,0,0,0,0,0,1.0,5.0,112,110,0
1S2VVY8TUHP4Q4KPAMGL4CX586LXA2CKD5W,12,6,0,594,1,1.0,0.0,1.0,0.0,6,75,12,25.6,5,800,0,0,1,0,0,0,0,0,0,0,0,0,0,350,26,10,2,40,0,1,0,0,0,0,0,0,1.0,5.0,24,14,1
7LK149T9IL6OLSIO9GE5CSJMIO76VENIGQQZ3JTB2JJJJ803BILHD,12,16,1291,1190,2,1.0,3.0,1.0,0.0,34,500,26,673.2,11,1753,0,0,0,0,0,0,0,1,0,0,0,0,0,700,50,248,1,28,0,0,0,0,0,1,0,0,1.0,5.0,176,454,0
