Nome,Best_Resolution_transformed,Boost_Clock_values,Core_Speed_val,DVI_Connection_val,Dedicated_bin,DisplayPort_Connection_val,HDMI_Connection_val,Integrated_bin,L2_Cache_transf,Max_Power_val,Memory_val,Memory_Bandwidth_val,Memory_Bus_val,Memory_Speed_val,DDR,DDR2,DDR3,DDR4,GDDR2,GDDR3,GDDR4,GDDR5,GDDR5X,HBM-1,HBM-2,eDRAM,Notebook_GPU_val,PSU_watts,PSU_amps,Pixel_Rate_val,Power_Connector_val,Process_val,2048x1536,2560x1600,4096x2160,4096x2304,5120x2880,5120x3200,7680x4320,disposable,SLI_Crossfire_val,Shader_val,TMUs_val,Texture_Rate_val,VGA_Connection_val
M76XNVTL4M4ULZCFPEG95AHFECWN90T2JARFXG209YG,16,0,1040,2,1.0,0.0,1.0,0.0,23,580,23,0.0,13,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,67,133,7,28,0,0,1,0,0,0,0,0,1.0,5.0,176,366,0
7QUDV2P0AH29CTIFMANEW6YY56ZZMU0EEWQBTGL3V7Z8UQ,14,1190,1102,1,1.0,3.0,1.0,0.0,26,250,22,336.6,11,1753,0,0,0,0,0,0,0,1,0,0,0,0,0,600,42,114,7,28,0,0,0,0,0,1,0,0,1.0,5.0,176,209,0
ZXD50ONA8MZUHE1NY21ZUZ4BOFXZ9X0,12,0,1000,1,1.0,0.0,1.0,0.0,10,0,17,153.6,8,1200,0,0,0,0,0,0,0,1,0,0,0,0,0,500,0,32,1,28,0,0,1,0,0,0,0,0,1.0,5.0,80,80,0
AO86XNGN8L42G2Z,0,0,0,0,1.0,0.0,0.0,0.0,1,0,5,17.6,5,550,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,-1,-1,-1
HM3LPJ50FKGK45O,7,0,650,0,1.0,0.0,0.0,0.0,6,30,12,51.2,5,800,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,40,0,1,0,0,0,0,0,0,0.0,5.0,20,13,-1
LLPFIG75PRHDSTIZ93JN,7,0,0,1,1.0,0.0,1.0,0.0,1,61,8,0.0,5,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,400,26,6,1,40,0,1,0,0,0,0,0,0,1.0,5.0,20,16,1
5ZP8HN52XN21R6NYG3EW2A19W4XROHON5XPBB,12,0,800,2,1.0,0.0,1.0,0.0,10,200,12,0.0,8,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,500,30,26,5,40,0,1,0,0,0,0,0,0,1.0,5.0,88,70,0
TZBTSJUXSN12788ACH,6,0,672,0,1.0,0.0,0.0,0.0,6,35,17,28.8,5,900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,40,0,1,0,0,0,0,0,0,0.0,5.0,16,11,-1
910GH6DPDS5MSG14,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,5.0,-1,-1,-1
LK57IHU4EZGMVJXT031F3ZWINP9,0,0,0,0,1.0,0.0,0.0,0.0,1,0,12,25.6,5,800,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.1,-1,-1,-1
B7F2QBOICV9QM3086RJ5FVFC3OANM9HINK7865FWUL4MTB,12,1100,1050,2,1.0,0.0,1.0,0.0,10,180,17,185.6,8,1450,0,0,0,0,0,0,0,1,0,0,0,0,0,500,0,35,1,28,0,0,1,0,0,0,0,0,1.0,5.0,80,88,0
DAHEO69PMYX4F,6,0,0,1,1.0,0.0,0.0,0.0,1,48,5,22.4,5,700,0,0,0,0,0,1,0,0,0,0,0,0,0,350,0,4,1,55,0,1,0,0,0,0,0,0,0.0,4.1,32,18,0
TT9Q1PKWHYVR39NLX7ND7QG8243CND,8,0,850,2,1.0,0.0,1.0,0.0,6,150,12,76.8,5,1200,0,0,0,0,0,0,0,1,0,0,0,0,0,450,30,14,2,40,0,1,0,0,0,0,0,0,1.0,5.0,40,34,0
VLM7NZ9XKE0DKGUXUURNANZYPSIL7I7SEBN,6,0,750,2,1.0,0.0,1.0,0.0,1,59,12,27.9,5,873,0,0,0,0,0,1,0,0,0,0,0,0,0,400,29,6,1,55,0,1,0,0,0,0,0,0,1.0,4.1,32,24,0
OG6PUMUXLPOKZZNKW0ZCBTKMORK9QH7MZ7F4OBZY6,11,0,820,2,1.0,0.0,1.0,0.0,10,0,12,134.4,8,1050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,40,0,1,0,0,0,0,0,0,1.0,5.0,48,39,0
C6X8FS5QIR2E9BLN4ZK7E6LU21J67Q33C30GBSX,13,0,1030,2,1.0,0.0,1.0,0.0,15,250,20,0.0,13,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,750,42,66,7,28,0,0,1,0,0,0,0,0,1.0,5.0,176,181,0
8LGIULBTWOGNLNS7LN6DCX61P4LVKB7FMIDNQM,12,1163,1111,2,1.0,0.0,1.0,0.0,10,250,17,0.0,8,1703,0,0,0,0,0,0,0,1,0,0,0,0,0,600,42,37,1,28,0,0,1,0,0,0,0,0,1.0,5.0,128,149,0
JHVSFJY9POOK,0,0,0,0,1.0,0.0,0.0,0.0,1,0,5,6.4,2,400,0,1,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1,0,1,0,0,0,0,0,0,0,0.0,3.0,-1,-1,-1
7XPXN3O4QQY3C3X882STEZH4GH,8,0,1084,2,1.0,0.0,1.0,0.0,6,0,12,0.0,5,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1,28,0,0,1,0,0,0,0,0,0.0,5.0,32,35,0
52CYUSBDZRCJOQYT28R1GRXDQ0VJSD6T47QTL3,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0,8.5,2,533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,-1,-1,1
2I2XYIRB30E6BET,0,0,0,0,1.0,0.0,0.0,0.0,1,23,12,25.6,5,800,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,55,0,1,0,0,0,0,0,0,1.0,4.0,-1,-1,-1
WEJZ9BW0O30N0G,0,0,0,2,1.0,0.0,0.0,0.0,1,65,5,0.0,8,625,0,0,0,0,0,1,0,0,0,0,0,0,0,350,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0,-1,-1,-1
W1ODSPERT3RF1DGXD28NWUWWZSXDXO41PM,8,1275,1175,0,1.0,1.0,1.0,0.0,15,75,17,0.0,5,1750,0,0,0,0,0,0,0,1,0,0,0,0,0,450,0,20,1,14,0,0,0,0,1,0,0,0,0.0,0.0,64,82,0
GFH8POFP008DWB0RL,12,1266,1120,0,1.0,3.0,1.0,0.0,22,120,20,0.0,8,1750,0,0,0,0,0,0,0,1,0,0,0,0,0,450,30,41,2,14,0,0,1,0,0,0,0,0,1.0,5.0,144,182,0
PHUD6M4QVXTLEF3,0,0,0,0,1.0,0.0,0.0,0.0,1,70,12,51.2,8,800,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,65,0,1,0,0,0,0,0,0,0.0,4.0,-1,-1,-1
H8H9234LE4JNCKI3NJRKBJ0O9RPGXEEAFJYU9SG4SLHEA,12,1020,870,1,1.0,0.0,1.0,0.0,13,250,19,0.0,11,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1,28,0,0,1,0,0,0,0,0,1.0,5.0,128,131,0
ZIIK80MA3I6,0,0,0,0,0.0,0.0,0.0,1.0,1,65,0,10.7,2,667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,4.1,-1,-1,-1
96GQH7LXECL6Y2U6T41BGBHOARV1B8X,8,0,1000,1,1.0,0.0,1.0,0.0,10,80,12,0.0,5,1125,0,0,0,0,0,0,0,1,0,0,0,0,0,500,20,16,1,28,0,0,1,0,0,0,0,0,1.0,5.0,40,40,0
00OD0TU1O63DL8O06NMJP,0,0,0,1,1.0,0.0,0.0,0.0,1,23,5,6.4,2,400,0,1,0,0,0,0,0,0,0,0,0,0,0,300,15,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0,-1,-1,1
E4Y50JB8MGII8W,3,0,0,1,1.0,0.0,0.0,0.0,1,60,5,23.4,8,730,1,0,0,0,0,0,0,0,0,0,0,0,0,400,20,3,1,150,1,0,0,0,0,0,0,0,0.0,2.0,8,3,1
GQV2UXRWJ3WGZ5,0,0,0,0,1.0,0.0,0.0,0.0,1,14,8,11.2,2,700,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.0,-1,-1,-1
IROSKPCN0DKXD37S0ZH,6,0,600,2,1.0,0.0,0.0,0.0,1,105,12,57.6,8,900,0,0,0,0,0,1,0,0,0,0,0,0,0,400,27,10,2,65,0,1,0,0,0,0,0,0,1.0,4.0,56,34,0
HTRWFGNEEO3YX5OZWY,4,0,600,1,1.0,0.0,1.0,0.0,1,48,12,22.4,5,700,0,1,0,0,0,0,0,0,0,0,0,0,0,400,29,5,1,55,0,1,0,0,0,0,0,0,1.0,4.1,32,19,1
LK2F1JUI7Y6XKJ0NCRKCN96T5,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,-1,-1,-1
5SOTB7K8UI,0,0,0,0,0.0,0.0,0.0,1.0,1,13,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,-1,-1,1
FJHQWIEXIDII4LM,0,0,0,0,1.0,0.0,0.0,0.0,1,0,2,2.9,5,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,-1,0
JJK3LIE939,0,0,0,0,0.0,0.0,0.0,1.0,1,65,0,10.7,2,667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,4.1,-1,-1,1
ZQFGPR0MQRN5PA0KAUE50WYV3UX8AWSSUCS,12,0,975,2,1.0,0.0,1.0,0.0,10,0,17,0.0,8,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,500,0,31,1,28,0,0,1,0,0,0,0,0,1.0,5.0,64,62,0
OTBXCBEION42YP1DV5IGWODS1TCHZMH2X7BJXK0SJKNJMT,6,0,902,1,1.0,0.0,1.0,0.0,5,38,17,0.0,2,1250,0,0,0,0,0,0,0,1,0,0,0,0,0,300,22,7,1,28,0,0,1,0,0,0,0,0,0.0,5.0,16,14,1
B9UD39HO8H9PT,0,0,0,0,0.0,0.0,0.0,1.0,1,20,0,14.4,2,900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,-1,-1,-1
2ZZTVRN2EBMAL3SP,0,0,0,1,1.0,0.0,0.0,0.0,1,24,4,1.6,2,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2.0,-1,-1,1
WZK7MAECB3QL2IG7LWPKT4TOHU,12,0,880,2,1.0,0.0,1.0,0.0,10,250,17,0.0,8,1375,0,0,0,0,0,0,0,1,0,0,0,0,0,550,34,28,1,40,0,1,0,0,0,0,0,0,1.0,5.0,96,84,0
HROP3ZUGVTTVVR5VVLNJMHID7I6Z378VS,0,0,1250,1,0.0,3.0,1.0,0.0,22,150,0,0.0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,500,33,80,4,14,0,0,1,0,0,0,0,0,1.0,0.0,128,160,0
N7ZDKZJSDTU7F5E5B6XRRGCCC47I5,12,0,0,0,1.0,0.0,0.0,0.0,1,50,17,0.0,5,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28,0,0,1,0,0,0,0,0,1.0,5.0,40,-1,-1
YKT35RKJZ,0,0,0,0,0.0,0.0,0.0,1.0,1,73,0,10.7,2,667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,4.0,-1,-1,-1
18K9TU8FWWYRPZO,0,0,0,1,1.0,0.0,0.0,0.0,1,0,5,3.2,5,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,3.0,-1,-1,1
VNUTKDA8BRWVIF,2,0,0,0,0.0,0.0,0.0,1.0,1,13,0,8.5,2,533,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.1,-1,-1,-1
5I8MPLLIZYGTT1,6,0,847,0,0.0,0.0,0.0,1.0,22,15,0,29.9,5,933,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,28,0,0,0,1,0,0,0,0,0.0,5.0,8,7,-1
NZJC0IZGMZREIC,8,0,650,1,1.0,0.0,1.0,0.0,6,60,12,0.0,5,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,400,27,5,1,40,0,1,0,0,0,0,0,0,1.0,5.0,24,16,1
PHRCSM84QSZOATC,6,844,760,0,1.0,0.0,0.0,0.0,6,65,0,34.1,5,1067,0,0,1,0,0,0,0,0,0,0,0,0,0,450,0,7,1,40,0,1,0,0,0,0,0,0,1.0,5.0,24,20,0
JHTT3AT45YOUBZ7JK0ZKHJ9XS7,0,0,0,0,1.0,0.0,0.0,0.0,1,110,12,108.8,8,1700,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.1,-1,-1,-1
UCASYQFZ7RDWURQ,12,0,715,0,1.0,0.0,0.0,0.0,10,100,17,115.2,8,900,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23,0,40,0,1,0,0,0,0,0,0,1.0,5.0,56,40,-1
EZ9NALKOQ72NMLA,0,0,0,2,1.0,0.0,0.0,0.0,1,0,4,5.2,5,325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,150,0,0,0,0,0,0,0,0,0.0,1.3,8,2,0
IT3B6WMLM13XPSHCLQJLQIBGOD88FO1Y01MG4EFM81UZVB2TN3ZS3JBR1D,8,1242,1163,2,1.0,0.0,2.0,0.0,22,60,17,86.4,5,1350,0,0,0,0,0,0,0,1,0,0,0,0,0,400,20,20,1,28,0,0,1,0,0,0,0,0,0.0,5.0,40,50,0
PCE1QYXXIE7ULBRPR84PL,6,1050,350,0,1.0,0.0,0.0,0.0,15,15,0,34.1,5,1066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,14,0,0,0,0,0,0,0,0,0.0,5.0,24,25,0
2IHKSYUOLSIZ97W1484TEVST65YWH1OR0Q8NJQELKQZ1CML6DVB3,17,0,1050,2,1.0,0.0,1.0,0.0,23,600,23,691.2,13,1350,0,0,0,0,0,0,0,1,0,0,0,0,0,1000,42,134,1,28,0,0,1,0,0,0,0,0,1.0,5.0,176,370,0
YBGUHC1BK04415XACKCEDQ690MDU8B02MWFQO,7,0,640,1,1.0,0.0,1.0,0.0,1,110,8,60.2,8,940,0,0,0,0,0,1,0,0,0,0,0,0,0,450,0,10,1,55,0,1,0,0,0,0,0,0,1.0,4.1,40,26,1
VBTH1S9XFIXZY,0,0,0,2,1.0,0.0,0.0,0.0,1,138,17,0.0,8,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,5.0,-1,-1,0
5SSW5H542CEE7RD,0,0,0,2,1.0,0.0,0.0,0.0,1,70,5,0.0,8,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,3.0,-1,-1,0
H9DP08SQFY1LWMAKTZJWW,0,0,0,0,1.0,0.0,0.0,0.0,1,4,3,1.3,2,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,-1,2
EU7I55Q82Y3X6G40AWU4TE,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0,17.1,5,533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,4.1,-1,-1,0
C2XKBB9V4D89C5GI1MS2EENR1I,0,0,0,0,1.0,0.0,0.0,0.0,1,0,8,12.2,5,380,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0,-1,-1,-1
XA6N5AF564QAXV32AMTOJO5,7,0,650,0,1.0,0.0,0.0,0.0,6,30,12,51.2,5,800,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,40,0,1,0,0,0,0,0,0,0.0,5.0,20,13,-1
LBFF1OK3ARQJW7L1,0,0,550,0,1.0,0.0,0.0,0.0,1,38,12,57.6,5,900,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,40,0,1,0,0,0,0,0,0,1.0,4.0,32,18,-1
M1J2SG61J7IHKNKID9,0,0,0,0,1.0,0.0,0.0,0.0,1,0,4,6.4,5,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,2.0,-1,-1,-1
91Z1E4L25ISLB9K,0,0,0,0,1.0,0.0,0.0,0.0,1,10,5,11.2,2,700,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.0,-1,-1,-1
Z8ZBEH2WTR5EIMH,0,0,0,2,1.0,0.0,0.0,0.0,1,0,3,3.2,5,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,150,0,0,0,0,0,0,0,0,0.0,1.3,4,1,0
OSY55R7YBMV5OZOG3VFKLOA512IO8F,3,1150,650,0,0.0,0.0,0.0,1.0,15,77,0,25.6,5,800,0,0,1,0,0,0,0,0,0,0,0,0,0,300,22,5,1,22,0,1,0,0,0,0,0,0,0.0,5.0,4,5,0
U74YU87PDXBLKSQ057X9104T,12,0,0,2,1.0,0.0,1.0,0.0,2,294,20,0.0,8,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,650,50,46,1,40,0,1,0,0,0,0,0,0,1.0,5.0,80,116,0
IGLNSDJV78V2IH1B,0,0,0,0,1.0,0.0,0.0,0.0,1,0,3,0.0,2,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,3.0,-1,-1,1
Q2FSAF1QIJQAR77Q6CWQXOO6ON2T2I,13,876,837,2,1.0,0.0,1.0,0.0,19,250,22,288.4,11,1502,0,0,0,0,0,0,0,1,0,0,0,0,0,600,42,42,1,28,0,0,1,0,0,0,0,0,1.0,5.0,224,196,0
V3636SQ0UN4L,0,0,0,0,1.0,0.0,0.0,0.0,1,45,17,28.8,5,900,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0.0,5.0,-1,-1,-1
ED6Y13P5ILKVQYN86MS0KOS,0,0,0,0,1.0,0.0,0.0,0.0,1,0,0,6.4,2,400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,90,0,0,0,0,0,0,0,0,0.0,3.0,4,2,0
F25RVVGIBII1H1C7,0,0,0,0,1.0,0.0,0.0,0.0,1,0,4,4.4,5,275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.3,-1,-1,0
RJESEJA1AVGML9OPDYPJ4X7KQVGS84VEC8RIRGA,8,0,1120,2,1.0,0.0,1.0,0.0,10,0,12,73.6,5,1150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,28,0,0,1,0,0,0,0,0,1.0,5.0,40,45,0
9JRDXLVSOLB00F7,0,0,0,0,0.0,0.0,0.0,1.0,1,0,0,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,-1,-1
X3G2VKULKYJOPGTCANX,0,0,0,2,1.0,0.0,0.0,0.0,1,0,5,0.0,8,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,520,25,0,1,0,0,1,0,0,0,0,0,0,1.0,3.0,-1,-1,0
VCVNB3HGWJGUOU,8,0,0,2,1.0,0.0,0.0,0.0,1,150,8,115.2,8,900,0,0,0,0,0,0,0,1,0,0,0,0,0,500,32,12,1,55,0,1,0,0,0,0,0,0,1.0,4.1,40,30,0
JWEUCSOLEG6896W3XNL5QGSDNHXE66FGQ8M,0,0,0,0,1.0,0.0,0.0,0.0,1,27,5,25.6,5,800,0,1,0,0,0,0,0,0,0,0,0,0,0,350,17,0,1,0,1,0,0,0,0,0,0,0,1.0,3.0,-1,-1,1
